model_id,measurement_source,sample_bridgestan_median_s,sample_kernel_median_s,sample_kernel_over_bridgestan,sample_bridgestan_over_kernel,sample_valid_pairs,native_bridgestan_median_ns_per_eval,native_kernel_median_ns_per_eval,native_kernel_over_bridgestan,native_bridgestan_over_kernel,native_blocks_per_method
traffic_accident_nyc-bym2_offset_only,followup_new,13,3.453,0.265615384615,3.76484216624,3,100685,20129.7,0.199927496648,5.00181324113,3
wells_data-wells_daae_c_model,firstpass_original,0.287,0.505,1.75958188153,0.568316831684,3,22743.1,37928.8,1.66770580967,0.599626141614,3
wells_data-wells_dae_c_model,firstpass_original,0.241,0.436,1.80912863071,0.552752293577,3,22209.4,44740,2.01446234477,0.496410371033,3
wells_data-wells_dae_inter_model,followup_replacement,0.179,0.341,1.84916201117,0.54078549849,3,22328.9,48344.9,2.16512680875,0.461866711898,3
wells_data-wells_dae_model,followup_replacement,0.297,0.493,1.64333333333,0.608519269778,3,19513.7,31369.3,1.6075526425,0.622063609964,3
wells_data-wells_dist,firstpass_original,0.289,0.143,0.494809688581,2.02097902098,3,42447.8,23126.4,0.544819755087,1.83546942023,3
wells_data-wells_dist100_model,firstpass_original,0.13,0.15,1.15384615385,0.866666666664,3,17837.1,24392.7,1.36752611131,0.731247463379,3
wells_data-wells_dist100ars_model,firstpass_original,0.23,0.377,1.63913043478,0.610079575598,3,20830.6,34081.5,1.63612665982,0.611199624429,3
wells_data-wells_interaction_c_model,followup_replacement,0.134,0.227,1.69402985075,0.590308370043,3,20776.4,38209.6,1.83908665601,0.543748168001,3
wells_data-wells_interaction_model,firstpass_original,0.393,0.668,1.69974554707,0.588323353295,3,22078.5,32736.7,1.48274112825,0.674426561014,3
